"","ID","Div","Measure","Value","Category","Question"
"327",47,"MSD","Preprint","AS SEEN DURING THE COVID-19 PANDEMIC, PREPRINTS HAVE BEEN SEIZED UPON BY MEDIA AND CONSPIRACY THEORISTS TO PUSH CLAIMS WHICH HAVE NOT SEEN PEER-REVIEW. FURTHERMORE, PREPRINTS CREATES AN UNHEALTHY CLIMATE OF RESEARCHERS RACING TO BE THE ""FIRST TO PUBLISH"" THEIR WORK, REGARDLESS OF QUALITY.","Misleading due to lack of peer review","WD"
"784",47,"MSD","Preprint","AS SEEN DURING THE COVID-19 PANDEMIC, PREPRINTS HAVE BEEN SEIZED UPON BY MEDIA AND CONSPIRACY THEORISTS TO PUSH CLAIMS WHICH HAVE NOT SEEN PEER-REVIEW. FURTHERMORE, PREPRINTS CREATES AN UNHEALTHY CLIMATE OF RESEARCHERS RACING TO BE THE ""FIRST TO PUBLISH"" THEIR WORK, REGARDLESS OF QUALITY.","Lowers quality","WD"
"334",48,"HUM","Preprint","EXTENDS THE LENGTH OF TIME REQUIRED FOR RESEARCH PROJECT, WITH LITTLE QUANTIFIABLE GAIN.","Time investment","WD"
"335",48,"HUM","Prereg","NOT RELEVANT TO MUCH OF THE HUMANITIES AS IT ASSUMES A QUASI-SCIENTIFIC RESEARCH STRUCTURE.","Not relevant for all fields","WD"
"339",49,"MPLS","Code","PEOPLE MIGHT NOT UNDERSTAND THE CODE, MIGHT NOT CHECK FOR ERRORS - HAVING TO WRITE MORE OF IT YOURSELF FORCES YOU TO FIX MISTAKES BUT COSTS TIME AND LEARNING EFFORT","No control over validity of reuse, misrepresentation, misuse","WD"
"348",50,"HUM","Preprint","WHAT'S THE POINT OF READING RESEARCH THAT HAS YET TO BENEFIT FROM PEER REVIEW? PEOPLE CAN JUST PUBLISH THAT STUFF ON MEDIUM OR PERSONAL BLOGS... DON'T SEE THE NEED FOR A FORMAL REPOSITORY.","Misleading due to lack of peer review","WD"
"355",51,"MSD","Preprint","LACK OF PEER-REVIEW, LACK OF UNDERSTANDING OF PRE-PRINTS BY POPULAR MEDIA (E.G. DURING THE COVID PANDEMIC)","Misleading due to lack of peer review","WD"
"359",52,"MSD","Data","HAVING PREPARED DATA FOR INTERNAL SHARING, EVEN WHEN LARGELY FOLLOWING REPRODUCIBLE RESEARCH PRACTICES FOR YOURSELF AND WITH GOOD DOCUMENTATION, THERE IS AN OVERHEAD IN TIME AND EFFORT OF SHARING THE DATA, ANSWERING QUESTIONS ON IT, ETC. THIS IS NOT A BAD THING FOR THE FIELD OVERALL, BUT IT IS ANOTHER DEMAND ON RESEARCHER TIME, AND NOT NECESSARILY ONE THAT'S RECOGNISED. ","Time investment","WD"
"361",52,"MSD","Materials","HAVING PREPARED DATA FOR INTERNAL SHARING, EVEN WHEN LARGELY FOLLOWING REPRODUCIBLE RESEARCH PRACTICES FOR YOURSELF AND WITH GOOD DOCUMENTATION, THERE IS AN OVERHEAD IN TIME AND EFFORT OF SHARING THE DATA, ANSWERING QUESTIONS ON IT, ETC. THIS IS NOT A BAD THING FOR THE FIELD OVERALL, BUT IT IS ANOTHER DEMAND ON RESEARCHER TIME, AND NOT NECESSARILY ONE THAT'S RECOGNISED. ","Time investment","WD"
"364",52,"MSD","RegRep","LONG GAPPY TIMESCALES, NOT NECESSARILY PRACTICAL FOR EARLY CAREER RESEARCHERS. ","Challenging timescale for ECR under short term contracts","WD"
"366",53,"MSD","Data","POTENTIAL FOR GENETIC AND MEDICAL DATA TO BE USED TO IDENTIFY THE INDIVIDUALS WHO PROVIDED IT.","Ethical, safety, or security concerns","WD"
"370",53,"MSD","Prereg","I DON'T THINK PREREGISTRATION SHOULD BE THOUGHT OF AS BEING ON EQUAL STANDING WITH THE FIRST FIVE ITEMS AS A PRIORITY FOR OPEN SCIENCE. PREREGISTRATION *CAN* BE USEFUL IN CERTAIN FIELDS AND SETTINGS BUT MAKING IT AN ABSOLUTE REQUIREMENT CAN, IN MY OPINION, BE DETRIMENTAL TO SCIENTIFIC PROGRESS BY IMPEDING EXPLORATORY ANALYSES NOT TIED TO SPECIFIC SCIENTIFIC HYPOTHESES.","Impedes exploratory research","WD"
"371",53,"MSD","RegRep","I DON'T THINK PREREGISTRATION SHOULD BE THOUGHT OF AS BEING ON EQUAL STANDING WITH THE FIRST FIVE ITEMS AS A PRIORITY FOR OPEN SCIENCE. PREREGISTRATION *CAN* BE USEFUL IN CERTAIN FIELDS AND SETTINGS BUT MAKING IT AN ABSOLUTE REQUIREMENT CAN, IN MY OPINION, BE DETRIMENTAL TO SCIENTIFIC PROGRESS BY IMPEDING EXPLORATORY ANALYSES NOT TIED TO SPECIFIC SCIENTIFIC HYPOTHESES.","Impedes exploratory research","WD"
"378",54,"MPLS","RegRep","THE ONLY RISKS HERE ARE DEPENDENT ON THE IMPLEMENTATION AND HOW THIS TIES IN WITH CONTROL OVER IP AND ACCREDITATION. IF IT FAILS TO PROTECT THE IP IN THE PROPOSAL, THIS RISKS WORK BEING UNFAIRLY SNIPED FOR PUBLICATION OR CONTROLLED FOR MONETISATION. IF IT GRANTS TOO MUCH OWNERSHIP, MANY GROUPS WOULD LOOK TO THIS AS A ROUTE TO HOARD IP WITHOUT THE TIME INVESTMENT IN FOLLOWING THROUGH WITH COSTLY EXPERIMENTS OR FINISHING PROJECTS. THIS CONCERN MAY ARISE FROM MY UNFAMILIARITY, AND I SUSPECT THAT THESE ISSUES COULD BE ALREADY RESOLVED IN OTHER RESEARCH AREAS WHERE THIS PRACTICE IS MORE COMMON","Intellectual property concerns","WD"
"379",55,"SSD","OA","OPEN ACCESS IS OFTEN VERY EXPENSIVE SO CAN BE A BIG BARRIER TO RESEARCHERS WITHOUT FINANCIAL SUPPORT OR FROM LOW INCOME REGIONS.","Financial cost","WD"
"384",55,"SSD","Prereg","DEPENDING ON HOW PREREGISTRATION CAN BE VIEWED BY OTHERS, IT WOULD BE CONCERNING THAT OTHER RESEARCHERS MAY USE THIS RESOURCE TO ATTEMPT TO STEAL OR COPY OTHER PEOPLE'S EXPERIMENTAL DESIGNS.","Fear of scooping","WD"
"386",56,"MSD","OA","INAPPROPRIATE APPLICATIONS OR INTERPRETATIONS OF DATA OR INFORMATION","No control over validity of reuse, misrepresentation, misuse","WD"
"394",57,"SSD","Data","I THINK IT WOULD REQUIRE VERY GOOD METADATA TO SHOW THE CONTEXT IN WHICH THE DATA HAS BEEN PRODUCED, IN ORDER TO PREVENT MISUSE. I ALSO COULD SEE SOME CHALLENGES WITH USING INTERVIEW AND OBSERVATION-BASED DATA ACROSS DIFFERENT PROJECT. BUT NONE OF HTESE ARE REASONS ENOUGH TO NOT DO OPEN ACCESS","No control over validity of reuse, misrepresentation, misuse","WD"
"397",57,"SSD","Preprint","NOT ALL WORKING PAPERS ARE SUITABLE FOR UNRESTRICTED ACCESS, PARTICULARLY BECAUSE THE IDEAS IN WORKING FORM CAN OFTEN BE TAKEN AS THE FINAL FORM, WHICH CAN HAVE IMPLICATIONS FOR SCHOLARS BEING ATTRIBUTED WITH IDEAS THAT DO NOT PRECISELY REFLECT THEIR MOST FULLY FORMED IDEAS.","Misleading due to lack of peer review","WD"
"400",58,"HUM","OA","IN THE MPHIL MODERN CHINESE STUDIES WE HAVE TO SIGN A DECLARATION NOT TO RECORD AND/OR PUBLISH ETC. ANY COURSE MATERIAL. THIS SHALL CREATE AN RESEARCH ENVIRONMENT ALLOWING TO EXPRESS ONE'S FREE OPINION. IF ALL RESEARCH DATA REGARDING CHINA WAS PUBLIC, THERE MIGHT BE A RISK THAT PEOPLE WOULD NOT EXPRESS THEIR OPINION AS FREELY AS THEY CAN NOW (AND I DO NOT JUDGE HERE IF SUCH CONSIDERATIONS ARE WELL-FOUNDED OR NOT). OF COURSE IT IS ALWAYS POSSIBLE TO GET THE DATA, BUT NOT SO EASILY PERHAPS AS IF IT IS SHARED IN A REPOSITORY WITH LIMITED ACCESS. ","Ethical, safety, or security concerns","WD"
"411",59,"MSD","Preprint","PREPRINTS ARE NOT PEER REVIEWED SO IT REQUIRES FOLLOW-UP READING AFTER IT'S BEEN OFFICIALLY PUBLISHED. HOWEVER FEW WILL GO BACK TO REVISIT THE PAPER.","Misleading due to lack of peer review","WD"
"416",60,"MPLS","Code","COMMERCIAL SENSITIVITY/GRUMPY FUNDERS, AS MUCH AS RESEARCHERS WOULD LIKE TO DO IT.","Intellectual property concerns","WD"
"415",60,"MPLS","Data","COMMERCIAL SENSITIVITY/GRUMPY FUNDERS, AS MUCH AS RESEARCHERS WOULD LIKE TO DO IT.","Intellectual property concerns","WD"
"421",61,"MSD","OA","THE OPEN ACCESS FEES ARE A PERVERSE INCENTIVE FOR THE EDITORIAL INDUSTRY AND MIGHT HAVE A LOT OF MONEY FROM ACADEMIA DIRECTED TO THEIR PROFITS.","Financial cost","WD"
"433",62,"MSD","Prereg","SCIENCE IS NOT LINEAR, HYPOTHESES CHANGE, EXPERIMENTS DO TOO. IT IS IMPOSSIBLE TO PREDICT WHAT EXPERIMENTS I AM GOING TO DO BEFORE THE START OF THE PROJECT.","Impedes flexibility in protocols","WD"
"434",62,"MSD","RegRep","SCIENCE IS NOT LINEAR, HYPOTHESES CHANGE, EXPERIMENTS DO TOO. IT IS IMPOSSIBLE TO PREDICT WHAT EXPERIMENTS I AM GOING TO DO BEFORE THE START OF THE PROJECT.","Impedes flexibility in protocols","WD"
"439",63,"SSD","Preprint","COULD RESULT IN ERRONEOUS OR POORLY SUPPORTED / DESIGNED CONTENT BEING USED BY OTHERS PREMATURELY. ","Misleading due to lack of peer review","WD"
"440",63,"SSD","Prereg","I DON'T HAVE EXPERIENCE WITH THIS, BUT I IMAGINE IT COULD POSSIBLY SLOW DOWN THE PROJECT TIMELINE AND MAKE IT MORE DIFFICULT TO ADAPT TO UNFORESEEN CHALLENGES IN THE FIELD. ","Time investment","WD"
"780",63,"SSD","Prereg","I DON'T HAVE EXPERIENCE WITH THIS, BUT I IMAGINE IT COULD POSSIBLY SLOW DOWN THE PROJECT TIMELINE AND MAKE IT MORE DIFFICULT TO ADAPT TO UNFORESEEN CHALLENGES IN THE FIELD. ","Impedes flexibility in protocols","WD"
"441",63,"SSD","RegRep","I DON'T HAVE EXPERIENCE WITH THIS, BUT I IMAGINE IT COULD POSSIBLY SLOW DOWN THE PROJECT TIMELINE AND MAKE IT MORE DIFFICULT TO ADAPT TO UNFORESEEN CHALLENGES IN THE FIELD. ALSO, THE PEER REVIEW PROCESS MAY ALLOW OTHERS TO COPY METHODS OR STUDY OBJECTIVES, WHICH MAY BE A CONCERN IF NOVELTY IS A PRIORITY.","Fear of scooping","WD"
"782",63,"SSD","RegRep","I DON'T HAVE EXPERIENCE WITH THIS, BUT I IMAGINE IT COULD POSSIBLY SLOW DOWN THE PROJECT TIMELINE AND MAKE IT MORE DIFFICULT TO ADAPT TO UNFORESEEN CHALLENGES IN THE FIELD. ALSO, THE PEER REVIEW PROCESS MAY ALLOW OTHERS TO COPY METHODS OR STUDY OBJECTIVES, WHICH MAY BE A CONCERN IF NOVELTY IS A PRIORITY.","Impedes flexibility in protocols","WD"
"783",63,"SSD","RegRep","I DON'T HAVE EXPERIENCE WITH THIS, BUT I IMAGINE IT COULD POSSIBLY SLOW DOWN THE PROJECT TIMELINE AND MAKE IT MORE DIFFICULT TO ADAPT TO UNFORESEEN CHALLENGES IN THE FIELD. ALSO, THE PEER REVIEW PROCESS MAY ALLOW OTHERS TO COPY METHODS OR STUDY OBJECTIVES, WHICH MAY BE A CONCERN IF NOVELTY IS A PRIORITY.","Time investment","WD"
"442",64,"SSD","OA","POTENTIAL FOR PLAGIARISM. ","Intellectual property concerns","WD"
"449",65,"MSD","OA","IT'S COSTLY AND FUNDING BODIES ARE NOT VERY KEEN TO SUBSIDISED THE COSTS OF OPEN ACCESS FOR THE GRANT HOLDERS. ","Financial cost","WD"
"456",66,"SSD","OA","I HAVE DOWNLOADED SOME JOURNAL ARTICLES THROUGH OPEN ACCESS, BUT I FOUND THEM LESS RIGOROUS. ALSO, I WOULDN'T WORRY ABOUT ACCESS TO PUBLICATION BECAUSE OXFORD HAS SUBSCRIBED TO AS LOT OF THE JOURNALS. EVEN IF SOMETIMES I CAN'T GET ACCESS TO THE ARTICLES I WANT, I CAN STILL CONTACT MY DEPARTMENT LIBRARIAN TO REQUEST THEIR HELP. SO THE ONLY REASON I'M NOT VERY INTERESTED IN OPEN ACCESS PUBLICATION IS THEIR QUALITY.","Lowers quality","WD"
"464",67,"SSD","Data","FOR ARCHAEOLOGICAL ONLINE DATABASES SHARING PRECISE SITE LOCATIONS MAY LEAD TO LOOTING OF ARCHAEOLOGICAL SITES. FOR ARCHAEOLOGICAL RESEARCH CONDUCTED FOR DESCENDENT GROUPS OF MARGINALIZED PEOPLE THE FINDINGS OF THE RESEARCH MAY BE OF A SENSITIVE NATURE WHICH THE DESCENDENT COMMUNITIES DO NOT WANT WIDELY SHARED. FOR EXAMPLE INDIGENOUS COMMUNITIES IN NORTH AMERICA SOMETIME REQUIRE THAT ARCHAEOLOGICAL FINDINGS ARE NOT PUBLISHED, BUT ARE MADE AVAILABLE TO THE INDIGENOUS COMMUNITY.","Not categorised","WD"
"466",67,"SSD","Materials","ARCHAEOLOGICAL MATERIALS HELD IN REPOSITORIES MAY NEED TO BE RETURNED TO DESCENDENT COMMUNITIES.","Resource not owned","WD"
"467",67,"SSD","Preprint","PREPRINTS ARE USEFUL TO STAY AHEAD ON THE LATEST DEVELOPMENTS IN THE FIELD, BUT SINCE THEY ARE NOT YET PEER-REVIEWED THEIR RESULTS NEED TO BE TAKEN WITH CAUTION.","Misleading due to lack of peer review","WD"
"470",68,"HUM","OA","IT'S HUGELY EXPENSIVE, AND FUNDING TO PRODUCE OPEN ACCESS PUBLICATIONS IS NOT ALWAYS WIDELY AVAILABLE.","Financial cost","WD"
"479",69,"MPLS","Code","OTHER GROUPS STEALING CODE AND NOT GIVING CREDIT","Intellectual property concerns","WD"
"478",69,"MPLS","Data","OTHER GROUPS STEALING PRE-PUBLISHED DATA ","Fear of scooping","WD"
"480",69,"MPLS","Materials","OTHER GROUPS STEALING THE MATERIALS ","Fear of scooping","WD"
"482",69,"MPLS","Prereg","EXCESSIVE BUREAUCRACY, STOPPING BLUE SKIES RESEARCH -- WHAT'S THE POINT IN RESEARCHING SOMETHING IF YOU KNOW WHAT YOU'RE GOING TO FIND...","Impedes exploratory research","WD"
"483",69,"MPLS","RegRep","EXCESSIVE BUREAUCRACY, STOPPING BLUE SKIES RESEARCH -- WHAT'S THE POINT IN RESEARCHING SOMETHING IF YOU KNOW WHAT YOU'RE GOING TO FIND...","Impedes exploratory research","WD"
"488",70,"SSD","Preprint","I WORRY ABOUT THE QUALITY OF DATA IN A REPOSITORY IF PREPRINTS ARE ALLOWED BEFORE THEY ARE PEER REVIEWED","Misleading due to lack of peer review","WD"
"493",71,"MPLS","Code","MILITARY SAFETY DUE TO CONFIDENTIALITY AND SENSITIVITY OF SOME INFORMATION","Ethical, safety, or security concerns","WD"
"492",71,"MPLS","Data","MILITARY SAFETY DUE TO CONFIDENTIALITY AND SENSITIVITY OF SOME INFORMATION ","Ethical, safety, or security concerns","WD"
"494",71,"MPLS","Materials","MILITARY SAFETY DUE TO CONFIDENTIALITY AND SENSITIVITY OF SOME INFORMATION","Ethical, safety, or security concerns","WD"
"502",72,"SSD","Preprint","TOP JOURNALS WANT WORK THAT HASN'T BEEN ON PREPRINT, WHICH IS VERY FRUSTRATING.","Prevents or complicates formal publishing","WD"
"508",73,"MPLS","Materials","WHILE YOU COULD SHARE MATERIALS RELATED TO RESEARCH EXECUTED WITH CERTAIN PLATFORMS, SOME PEOPLE WILL STILL NOT HAVE ACCESS TO USE THEM IF THEY DO NOT OWN THE PLATFORM. ","Unusable if not from open source platforms","WD"
"512",74,"HUM","OA","VERY FEW JOURNALS OFFER OPEN ACCESS PUBLICATION, WHICH SEVERELY LIMITS PUBLICATION OPTIONS (AND THOSE THAT DO ARE USUALLY CONSIDERED ""LESS PRESTIGIOUS"")","Fewer (prestigious) journal options","WD"
"521",75,"MPLS","Code","IT TAKES A LONG TIME TO PREPARE SHAREABLE CODE AND THERE ARE NO INCENTIVES","Time investment","WD"
"524",75,"MPLS","Prereg","LIMITS EXPLORATORY RESEARCH","Impedes exploratory research","WD"
"528",76,"MSD","Code","HAVE TO BE CERTAIN THAT IT IS THOROUGHLY REVIEWED AND TESTED","Lowers quality","WD"
"534",77,"SSD","Data","THE BURDEN ON QUALITATIVE RESEARCHERS COULD BE SIGNIFICANT, ESPECIALLY IF THE DATA IS SUPPOSED TO BE OF REPLICABLE QUALITY.","Time investment","WD"
"536",77,"SSD","Materials","ETHICS, WHEN IT JEOPARDIZES OF PRIVACY OR SAFETY OF, SAY, INTERVIEW INFORMANTS. ALSO SOME INFORMANTS (I'M THINKING IN MY CASE OF ELITE POLITICIANS) WOULD ALMOST CERTAINLY BE LESS WILLING TO SPEAK AT ALL IF THEY KNEW THAT RESEARCHERS ROUTINELY SUBMITTED ALL OF THEIR RECORDINGS OR TRANSCRIPTS TO A REPOSITORY, EVEN IF THOSE MATERIALS DIDN'T HAVE THEIR NAME ON THEM. THEY ARE SKITTISH ENOUGH AS IT IS.","Ethical, safety, or security concerns","WD"
"538",77,"SSD","Prereg","AT LEAST IN POLITICAL SCIENCE, PREREGISTRATION GIVES A STUDY MORE CREDIBILITY, BUT AT THE EXPENSE OF ANY WIGGLE ROOM TO, FOR EXAMPLE, REPORT AN UNANTICIPATED FINDING OR USE THE DATA FOR A DIFFERENT PURPOSE. IT WOULD ALSO BE A PROBLEM IF THE PRACTICE BECAME THE NORM WITHOUT ANY CORRESPONDING INCREASE IN RESPECT FOR NULL FINDINGS.","Needs corresponding increase in respect for null findings","WD"
"781",77,"SSD","Prereg","AT LEAST IN POLITICAL SCIENCE, PREREGISTRATION GIVES A STUDY MORE CREDIBILITY, BUT AT THE EXPENSE OF ANY WIGGLE ROOM TO, FOR EXAMPLE, REPORT AN UNANTICIPATED FINDING OR USE THE DATA FOR A DIFFERENT PURPOSE. IT WOULD ALSO BE A PROBLEM IF THE PRACTICE BECAME THE NORM WITHOUT ANY CORRESPONDING INCREASE IN RESPECT FOR NULL FINDINGS.","Impedes flexibility in protocols","WD"
"540",78,"MPLS","OA","EXPENSIVE","Financial cost","WD"
"547",79,"HUM","OA","I ASSUME THAT THE REASON THAT (E.G.) JOURNAL ARTICLES ARE NOT OPEN ACCESS AS A MATTER OF COURSE IS THAT THERE ARE COSTS ASSOCIATED WITH THE PRODUCTION OF JOURNALS, AND THAT IF EVERY ARTICLE WERE OPEN ACCESS THEN NO INSTITUTIONS WOULD HAVE TO SUBSCRIBE TO THESE JOURNALS, AND SO ANOTHER MEANS OF FUNDING THE PRODUCTION OF THESE JOURNALS WOULD HAVE TO BE FOUND (I ADMIT THAT I DON'T FULLY UNDERSTAND THE ISSUES AT PLAY). ","Loss of journal income","WD"
"555",80,"MPLS","Data","SENSITIVE DATA REGARDING COUNTRY'S SAFETY SHOULDN'T BE OPEN-ACCESSED ","Ethical, safety, or security concerns","WD"
"557",80,"MPLS","Materials","SENSITIVE DATA REGARDING COUNTRY'S SAFETY SHOULDN'T BE OPEN-ACCESSED ","Ethical, safety, or security concerns","WD"
"566",81,"MSD","Prereg","INCREASED FORWARD PLANNING/TIME FOR RESEARCH","Time investment","WD"
"567",81,"MSD","RegRep","INCREASED FORWARD PLANNING/TIME FOR RESEARCH","Time investment","WD"
"569",82,"MSD","Data","SOME DATA ARE IMPOSSIBLE TO ANONYMIZE","Ethical, safety, or security concerns","WD"
"576",83,"MSD","Data","PEOPLE USE YOUR DATA MALICIOUSLY OR MALICIOUS QUESTIONING OF HOW YOUR DATA HAS BEEN ANALYSED","No control over validity of reuse, misrepresentation, misuse","WD"
"586",84,"MSD","Preprint","MAYBE OTHER PEOPLE WILL DO FOLLOW UP RESEARCH FASTER AND SCOOP THE ORIGINAL ONE","Fear of scooping","WD"
"593",85,"MSD","Preprint","I PERSISTENTLY SEE PREPRINTS BEING QUOTED AND REFERENCED IN PUBLISHED PAPERS.. I DON'T AGREE WITH THIS, AS THEY HAVE NOT YET GONE THROUGH PEER REVIEW THEREFORE IT'S INAPPROPRIATE TO PUBLISH/DRAW CONCLUSIONS FROM THEIR FINDINGS. ","Misleading due to lack of peer review","WD"
"598",86,"MSD","Code","RISK PEOPLE USE IT WITHOUT UNDERSTANDING NUANCE ","No control over validity of reuse, misrepresentation, misuse","WD"
"597",86,"MSD","Data","RISK OF BREACH OF PRIVACY","Ethical, safety, or security concerns","WD"
"599",86,"MSD","Materials","RISK PEOPLE USE IT WITHOUT UNDERSTANDING NUANCE ","No control over validity of reuse, misrepresentation, misuse","WD"
"602",86,"MSD","RegRep","PEER REVIEW IMPROVES THE QUALITY - EVIDENCE MAY BE USED WITHOUT LOOKING FOR THE PEER REVIEWED VERSION","Not categorised","WD"
"603",87,"MSD","OA","SO EXPENSIVE!! JOURNALS SHOULD REDUCE THE COST OF PUBLISHING OPEN ACCESS","Financial cost","WD"
"614",88,"MSD","Preprint","RESEARCH THAT HAS NOT UNDERGONE PEER REVIEW MAY BE MORE PRONE TO BIAS","Misleading due to lack of peer review","WD"
"617",89,"MPLS","OA","COST","Financial cost","WD"
"628",90,"MSD","Preprint"," ","Not categorised","WD"
"631",91,"MPLS","OA","COST OF OPEN ACCESS PUBLICATION ","Financial cost","WD"
"641",92,"MPLS","Materials","I GUESS IF THERE IS INSUFFICIENT NORMS AROUND THE USE OF MATERIAL BY EXTERNAL RESEARCHERS, THERE IS A MINOR RISK OF COPYRIGHT, BUT I THINK IT SHOULD BE POSSIBLE TO IMPLEMENT A SYSTEM WHEREIN MATERIAL IS SHARED WITHOUT THIS BEING A RISK. SHARING MATERIAL CAN BE VERY BENEFICIAL FOR MULTIPLE PARTIES AND IT CAN HELP STIMULATE RESEARCH AND NEW QUESTIONS.","Intellectual property concerns","WD"
"650",93,"MSD","Prereg","STRUCTURAL BIOLOGY IS A HIGHLY COMPETITIVE FIELD, THEREFORE WE CANNOT AFFORD TO HAVE OUR IDEAS REVIEWED BEFORE CARRYING THE EXPERIMENTS AND PUBLISHING.. THE NOTION OF ""PUBLISH OR PERISH"" IS EXTREMELY PRESENT HERE. ","Fear of scooping","WD"
"652",94,"SSD","OA","INSTEAD OF LIBRARIES AND OTHER INSTITUTIONS PAYING FOR JOURNAL SUBSCRIPTIONS, THESE FEES ARE COMMONLY PAWNED OFF ON THE WRITERS, WHICH MEANS RESEARCHERS SITUATED AT MORE AFFLUENT INSTITUTIONS GET PREFERENTIAL TREATMENT, BECAUSE THEY CAN MORE EASILY AFFORD TO BE PUBLISHED IN THIS FORMAT. MOREOVER, THE COSTS OF PUBLISHING A JOURNAL ONLINE VS A TRADITIONAL PRINTING PROCESS CALL INTO QUESTION THE LEGITIMACY OF THESE FEES, BAR THEIR FUNCTION IN MAKING JOURNALS VERY LUCRATIVE BUSINESSES. THE LATTER DO NOT PRESENT A VIABLE VESSEL FOR INNOVATIVE RESEARCH.","Financial cost","WD"
"660",95,"MSD","Data","I THINK THAT THERE IS A CONCERN THAT COMPLETE DATA SHARING WOULD LEAVE RESEARCHERS WHO COLLECTED THE DATA MAY GET SCOOPED TO INTERESTING FINDINGS.","Fear of scooping","WD"
"662",95,"MSD","Materials","I THINK THAT THERE IS A CONCERN THAT COMPLETE MATERIAL SHARING WOULD LEAVE RESEARCHERS WHO COLLECTED THE DATA MAY GET SCOOPED TO INTERESTING FINDINGS.","Fear of scooping","WD"
"666",96,"SSD","OA","HIGH FEES FOR PUBLISHING OPEN ACCESS WOULD BE DETRIMENTAL FOR DIVERSITY IN ACADEMIA: RESEARCH GROUPS WITHOUT ADEGUATE FINANCIAL RESOURCES WOULD NOT BE ABLE TO PUBLISH IN HIGH IMPACT OPEN ACCESS JOURNALS","Financial cost","WD"
"674",97,"MSD","Data","DATASET SHARING IS LIMITED TO AGGREGATED DATASETS SINCE RESEARCH DATASET CONTAINS PERSONAL DATA. HOWEVER, CREATION OF AGGREGATED DATASETS ARE GENERAL NOT WITHIN THE SCOPE OF FUNDED STUDIES.  ","Time investment","WD"
"683",98,"MSD","Materials","MUST COMPLY WITH HUMAN TISSUE ACT AND THE LAWS OF OTHER COUNTRIES - COULD BE CONFLICTS BETWEEN DIFFERENT NATIONAL POLICIES","Law against sharing specific material","WD"
"687",99,"MSD","OA","FUNDERS, E.G. WELLCOME TRUST HAVING VERY STRONG CRITERIA THAT LIMITS THE JOURNALS YOU CAN PUBLISH IN","Fewer (prestigious) journal options","WD"
"698",100,"MSD","Preprint","I BELIEVE THE PROLIFERATION OF PREPRINTS REMOVES THE ELEMENT OF PEER-REVIEW FROM SCIENTIFIC PUBLICATIONS, AND INSTEAD BUILDS RELIANCE ON THE REPUTATION OF STRONG VOICES IN THE COMMUNITY AS A MEASURE OF VERITY, WHICH IS NEITHER GOOD FOR THE QUALITY OF THE SCIENCE, NOR TO ITS DECENTRALISATION.  ","Misleading due to lack of peer review","WD"
"702",101,"SSD","Data","THIRD PARTY LICENSES","Proprietary file format","WD"
"704",101,"SSD","Materials","THIRD PARTY LICENSES AND POLICIES","Resource not own","WD"
"713",102,"MSD","Prereg","JUST THE TIME IT TAKES - BUT ITS STILL A GOOD THING!","Time investment","WD"
"716",103,"MPLS","Data","DATA IS STORED IN MULTIPLE FORMATS (MEANING FILE FORMATS BUT ALSO DATA STRUCTURE). REVISITING YOUR OWN DATA AFTER SOME TIME MAY BE DIFFICULT. MAKING DATA AVAILABLE TO OTHER USERS IN FORMAT THAT IS READILY AVAILABLE AND UNDERSTANDABLE WOULD DEMAND A GREAT EFFORT, AND IT'S NOT SURE IF INTEREST FROM POTENTIAL USERS WILL JUSTIFY THAT","Proprietary file format","WD"
"718",103,"MPLS","Materials","VARIETY OF SAMPLES IN CONDENSED MATTER/CHEMISTRY/NANOTECHNOLOGY IS SO LARGE, AND THEY ARE SO FRAGILE, AND THEIR HANDLING IS SO SENSITIVE THAT IT WOULDN'T BE PRACTICAL TO MAKE THEM WIDELY AVAILABLE. THE ONLY WAY OF DOING IT SEEMS DIRECT CONTACT BETWEEN INDIVIDUAL RESERCH GROUPS/ RESEARCHERS ","Impractical","WD"
